Country,Total cases,Total deaths,Total recovered,New cases,New deaths,Active cases,Critical cases,Total cases per 1M pop.,totalDeathsPerMillionPopulation,Gross Total cases,Gross Total deaths
Channel Islands,193,3,0,0,0,190,0,1110,17.0,193,3
Nigeria,184,2,20,0,0,162,0,1,0.0,184,2
Faeroe Islands,177,0,81,0,0,96,1,3622,0.0,177,0
Mauritius,169,7,0,0,0,162,1,133,6.0,169,7
Palestine,161,1,18,0,0,142,0,32,0.0,161,1
Sri Lanka,151,4,21,0,0,126,5,7,0.0,151,4
Venezuela,146,5,43,0,0,98,6,5,0.0,146,5
Montenegro,144,2,0,0,0,142,4,229,3.0,144,2
United Arab Emirates,140,2,31,0,0,0,0,0,0.0,140,2
Martinique,138,3,27,0,0,108,19,368,8.0,138,3
Georgia,134,0,26,0,0,108,6,34,0.0,134,0
DRC,134,13,3,0,0,118,0,1,0.0,134,13
Brunei,133,1,56,0,0,76,3,304,2.0,133,1
Bolivia,132,9,1,9,1,122,3,11,1.0,141,10
Kyrgyzstan,130,1,5,14,1,124,5,20,0.0,144,2
Guadeloupe,128,6,24,0,0,98,14,320,15.0,128,6
Mayotte,116,1,10,0,0,105,3,425,4.0,116,1
Cambodia,114,0,35,4,0,79,1,7,0.0,118,0
Kenya,110,3,4,0,0,103,2,2,0.0,110,3
Niger,98,5,0,0,0,93,0,4,0.0,98,5
Trinidad and Tobago,97,6,1,3,1,90,0,69,4.0,100,7
Isle of Man,95,1,0,0,0,94,0,1117,12.0,95,1
Paraguay,92,3,3,15,0,86,4,13,0.0,107,3
Gibraltar,88,0,46,0,0,42,0,2612,0.0,88,0
Rwanda,84,0,0,0,0,84,0,6,0.0,84,0
Liechtenstein,75,0,0,0,0,75,0,1967,0.0,75,0
Monaco,60,1,2,0,0,57,2,1529,25.0,60,1
Aruba,60,0,1,0,0,59,0,562,0.0,60,0
Madagascar,59,0,0,0,0,59,6,2,0.0,59,0
Bangladesh,56,6,25,0,0,25,1,0,0.0,56,6
Guinea,52,0,0,0,0,52,0,4,0.0,52,0
French Guiana,51,0,15,0,0,36,0,171,0.0,51,0
Guatemala,47,1,12,0,0,34,1,3,0.0,47,1
Jamaica,47,3,2,0,0,42,0,16,1.0,47,3
El Salvador,46,2,0,5,0,44,4,7,0.0,51,2
Barbados,46,0,0,0,0,46,0,160,0.0,46,0
Uganda,45,0,0,0,0,45,0,1,0.0,45,0
Macao,41,0,10,0,0,31,0,63,0.0,41,0
Djibouti,40,0,0,0,0,40,0,40,0.0,40,0
Togo,39,2,17,0,0,20,0,5,0.0,39,2
Puerto Rico,39,2,1,8,0,36,0,14,1.0,47,2
Zambia,39,1,0,0,0,38,0,2,0.0,39,1
French Polynesia,37,0,0,0,0,37,1,132,0.0,37,0
Mali,36,3,0,0,0,33,0,2,0.0,36,3
Bermuda,35,0,11,0,0,24,0,562,0.0,35,0
Guam,32,1,0,3,0,31,0,190,6.0,35,1
Ethiopia,29,0,3,0,0,26,2,0,0.0,29,0
Cayman Islands,28,1,0,0,0,27,0,426,15.0,28,1
Bahamas,24,1,1,0,0,22,1,61,3.0,24,1
Saint Martin,22,1,2,0,0,19,0,569,26.0,22,1
Eritrea,22,0,0,0,0,22,0,6,0.0,22,0
Gabon,21,1,1,0,0,19,0,9,0.0,21,1
Tanzania,20,1,2,0,0,17,0,0,0.0,20,1
Myanmar,20,1,0,0,0,19,0,0,0.0,20,1
Maldives,19,0,13,0,0,6,0,35,0.0,19,0
Guyana,19,4,0,0,0,15,0,24,5.0,19,4
New Caledonia,18,0,1,0,0,17,0,63,0.0,18,0
Haiti,18,0,1,2,0,17,0,2,0.0,20,0
U.S. Virgin Islands,17,0,0,0,0,17,0,163,0.0,17,0
Syria,16,2,0,0,0,14,0,1,0.0,16,2
Equatorial Guinea,15,0,1,0,0,14,0,11,0.0,15,0
Namibia,14,0,3,0,0,11,0,6,0.0,14,0
Mongolia,14,0,2,0,0,12,0,4,0.0,14,0
Benin,13,0,1,0,0,12,0,1,0.0,13,0
Saint Lucia,13,0,1,0,0,12,0,71,0.0,13,0
Dominica,12,0,0,0,0,12,0,167,0.0,12,0
Curaçao,11,1,3,0,0,7,0,67,6.0,11,1
Libya,11,1,0,0,0,10,0,2,0.0,11,1
Greenland,10,0,2,0,0,8,0,176,0.0,10,0
Grenada,10,0,0,0,0,10,0,89,0.0,10,0
Seychelles,10,0,0,0,0,10,0,102,0.0,10,0
Laos,10,0,0,0,0,10,0,1,0.0,10,0
Suriname,10,0,0,0,0,10,0,17,0.0,10,0
Mozambique,10,0,0,0,0,10,0,0,0.0,10,0
Côte d'Ivoire,9,0,1,0,0,0,0,0,0.0,9,0
Guinea-Bissau,9,0,0,0,0,9,0,5,0.0,9,0
Eswatini,9,0,0,0,0,9,0,8,0.0,9,0
Antigua and Barbuda,9,0,0,0,0,9,0,92,0.0,9,0
Zimbabwe,9,1,0,0,0,8,0,1,0.0,9,1
MS Zaandam,9,2,0,0,0,7,0,0,0.0,9,2
Saint Kitts and Nevis,9,0,0,0,0,9,0,169,0.0,9,0
Sudan,8,2,2,0,0,4,0,0,0.0,8,2
Angola,8,2,1,0,0,5,0,0,0.0,8,2
Chad,8,0,0,0,0,8,0,0,0.0,8,0
CAR,8,0,0,5,0,8,0,2,0.0,13,0
Vatican City,7,0,0,0,0,7,0,8739,0.0,7,0
Fiji,7,0,0,0,0,7,0,8,0.0,7,0
Mauritania,6,1,2,0,0,3,0,1,0.0,6,1
St. Barth,6,0,1,0,0,5,0,607,0.0,6,0
Nepal,6,0,1,0,0,5,0,0,0.0,6,0
Liberia,6,0,0,0,0,6,0,1,0.0,6,0
Cabo Verde,6,1,0,0,0,5,0,11,2.0,6,1
Bhutan,5,0,1,0,0,4,0,6,0.0,5,0
Somalia,5,0,1,0,0,4,0,0,0.0,5,0
Turks and Caicos,5,0,0,0,0,5,0,129,0.0,5,0
Nicaragua,5,1,0,0,0,4,0,1,0.0,5,1
Montserrat,5,0,0,0,0,5,0,1002,0.0,5,0
Gambia,4,1,2,0,0,1,0,2,0.0,4,1
Botswana,4,1,0,0,0,3,0,2,0.0,4,1
Malawi,3,0,0,0,0,3,0,0,0.0,3,0
Anguilla,3,0,0,0,0,3,0,200,0.0,3,0
Burundi,3,0,0,0,0,3,0,0,0.0,3,0
Central African Republic,3,0,0,0,0,0,0,0,0.0,3,0
Belize,3,0,0,0,0,3,0,8,0.0,3,0
British Virgin Islands,3,0,0,0,0,3,0,99,0.0,3,0
St. Vincent Grenadines,2,0,1,0,0,1,0,18,0.0,2,0
Sierra Leone,2,0,0,0,0,2,0,0,0.0,2,0
Kosovo,2,0,0,0,0,0,0,0,0.0,2,0
Caribbean Netherlands,2,0,0,0,0,2,0,76,0.0,2,0
Faroe Islands,2,0,0,0,0,0,0,0,0.0,2,0
Timor-Leste,1,0,0,0,0,1,0,1,0.0,1,0
Papua New Guinea,1,0,0,0,0,1,0,0,0.0,1,0
Saint Vincent and the Grenadines,1,0,0,0,0,0,0,0,0.0,1,0
Jersey,0,0,0,0,0,0,0,0,0.0,0,0
Guernsey,0,0,0,0,0,0,0,0,0.0,0,0
